"Station Name","GORE BAY"
"Province","ONTARIO"
"Latitude","45.92"
"Longitude","-82.47"
"Elevation","190.50"
"Climate Identifier","6092915"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1881-01","1881","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1881-02","1881","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1881-03","1881","03","","","","","","","","","","","14.0","","2.0","","16.0","","","",,"",,""
"1881-04","1881","04","","","","","","","","","","","11.9","","0.5","","12.4","","","",,"",,""
"1881-05","1881","05","","","","","","","","","","","90.9","","0.0","","90.9","","","",,"",,""
"1881-06","1881","06","","","","","","","","","","","38.9","","0.0","","38.9","","","",,"",,""
"1881-07","1881","07","","","","","","","","","","","20.6","","0.0","","20.6","","","",,"",,""
"1881-08","1881","08","","","","","","","","","","","17.5","","0.0","","17.5","","","",,"",,""
"1881-09","1881","09","","","","","","","","","","","188.5","","0.0","","188.5","","","",,"",,""
"1881-10","1881","10","","","","","","","","","","","95.5","","0.0","","95.5","","","",,"",,""
"1881-11","1881","11","","","","","","","","","","","18.3","","0.0","","18.3","","","",,"",,""
"1881-12","1881","12","","","","","","","","","","","11.9","","22.9","","34.8","","","",,"",,""
"1882-01","1882","01","-3.1","","-11.3","","-7.2","","","","","","","M","","M","","M","","",,"",,""
"1882-02","1882","02","-0.2","","-9.5","","-4.9","","","","","","15.7","","0.0","","15.7","","","",,"",,""
"1882-03","1882","03","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-04","1882","04","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-05","1882","05","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-06","1882","06","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-07","1882","07","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-08","1882","08","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-09","1882","09","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-10","1882","10","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-11","1882","11","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1882-12","1882","12","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1883-01","1883","01","","","","","","","","","","","","","","","","","","",,"",,""
"1883-02","1883","02","","","","","","","","","","","","","","","","","","",,"",,""
"1883-03","1883","03","","","","","","","","","","","","","","","","","","",,"",,""
"1883-04","1883","04","","","","","","","","","","","","","","","","","","",,"",,""
"1883-05","1883","05","","","","","","","","","","","","","","","","","","",,"",,""
"1883-06","1883","06","","","","","","","","","","","","","","","","","","",,"",,""
"1883-07","1883","07","","","","","","","","","","","","","","","","","","",,"",,""
"1883-08","1883","08","","","","","","","","","","","","","","","","","","",,"",,""
"1883-09","1883","09","","","","","","","","","","","","","","","","","","",,"",,""
"1883-10","1883","10","","","","","","","","","","","","","","","","","","",,"",,""
"1883-11","1883","11","","","","","","","","","","","","","","","","","","",,"",,""
"1883-12","1883","12","","","","","","","","","","","","","","","","","","",,"",,""
"1884-01","1884","01","","","","","","","","","","","","","","","","","","",,"",,""
"1884-02","1884","02","","","","","","","","","","","","","","","","","","",,"",,""
"1884-03","1884","03","","","","","","","","","","","","","","","","","","",,"",,""
"1884-04","1884","04","","","","","","","","","","","","","","","","","","",,"",,""
"1884-05","1884","05","","","","","","","","","","","","","","","","","","",,"",,""
"1884-06","1884","06","","","","","","","","","","","","","","","","","","",,"",,""
"1884-07","1884","07","","","","","","","","","","","","","","","","","","",,"",,""
"1884-08","1884","08","","","","","","","","","","","","","","","","","","",,"",,""
"1884-09","1884","09","","","","","","","","","","","","","","","","","","",,"",,""
"1884-10","1884","10","","","","","","","","","","","","","","","","","","",,"",,""
"1884-11","1884","11","","","","","","","","","","","","","","","","","","",,"",,""
"1884-12","1884","12","","","","","","","","","","","","","","","","","","",,"",,""
"1885-01","1885","01","","","","","","","","","","","","","","","","","","",,"",,""
"1885-02","1885","02","","","","","","","","","","","","","","","","","","",,"",,""
"1885-03","1885","03","","","","","","","","","","","","","","","","","","",,"",,""
"1885-04","1885","04","","","","","","","","","","","","","","","","","","",,"",,""
"1885-05","1885","05","","","","","","","","","","","","","","","","","","",,"",,""
"1885-06","1885","06","","","","","","","","","","","","","","","","","","",,"",,""
"1885-07","1885","07","","","","","","","","","","","","","","","","","","",,"",,""
"1885-08","1885","08","","","","","","","","","","","","","","","","","","",,"",,""
"1885-09","1885","09","","","","","","","","","","","","","","","","","","",,"",,""
"1885-10","1885","10","","","","","","","","","","","","","","","","","","",,"",,""
"1885-11","1885","11","","","","","","","","","","","","","","","","","","",,"",,""
"1885-12","1885","12","","","","","","","","","","","","","","","","","","",,"",,""
"1886-01","1886","01","","","","","","","","","","","","","","","","","","",,"",,""
"1886-02","1886","02","","","","","","","","","","","","","","","","","","",,"",,""
"1886-03","1886","03","","","","","","","","","","","","","","","","","","",,"",,""
"1886-04","1886","04","","","","","","","","","","","","","","","","","","",,"",,""
"1886-05","1886","05","","","","","","","","","","","","","","","","","","",,"",,""
"1886-06","1886","06","","","","","","","","","","","","","","","","","","",,"",,""
"1886-07","1886","07","","","","","","","","","","","","","","","","","","",,"",,""
"1886-08","1886","08","","","","","","","","","","","","","","","","","","",,"",,""
"1886-09","1886","09","","","","","","","","","","","","","","","","","","",,"",,""
"1886-10","1886","10","","","","","","","","","","","","","","","","","","",,"",,""
"1886-11","1886","11","","","","","","","","","","","","","","","","","","",,"",,""
"1886-12","1886","12","","","","","","","","","","","","","","","","","","",,"",,""
"1887-01","1887","01","","","","","","","","","","","","","","","","","","",,"",,""
"1887-02","1887","02","","","","","","","","","","","","","","","","","","",,"",,""
"1887-03","1887","03","","","","","","","","","","","","","","","","","","",,"",,""
"1887-04","1887","04","","","","","","","","","","","","","","","","","","",,"",,""
"1887-05","1887","05","","","","","","","","","","","","","","","","","","",,"",,""
"1887-06","1887","06","","","","","","","","","","","","","","","","","","",,"",,""
"1887-07","1887","07","","","","","","","","","","","","","","","","","","",,"",,""
"1887-08","1887","08","","","","","","","","","","","","","","","","","","",,"",,""
"1887-09","1887","09","","","","","","","","","","","","","","","","","","",,"",,""
"1887-10","1887","10","","","","","","","","","","","","","","","","","","",,"",,""
"1887-11","1887","11","","","","","","","","","","","","","","","","","","",,"",,""
