"Station Name","SUDBURY"
"Province","ONTARIO"
"Latitude","46.48"
"Longitude","-80.98"
"Elevation","259.10"
"Climate Identifier","6068148"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1914-01","1914","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-02","1914","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-03","1914","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-04","1914","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-05","1914","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-06","1914","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-07","1914","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-08","1914","08","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1914-09","1914","09","","","","","","","","","","","85.6","","0.0","","85.6","","","",,"",,""
"1914-10","1914","10","","","","","","","","","","","67.6","","0.3","","67.8","","","",,"",,""
"1914-11","1914","11","","","","","","","","","","","40.4","","56.6","","97.0","","","",,"",,""
"1914-12","1914","12","","","","","","","","","","","3.3","","43.2","","46.5","","","",,"",,""
"1915-01","1915","01","","","","","","","","","","","23.6","","10.9","","34.5","","","",,"",,""
"1915-02","1915","02","","","","","","","","","","","9.7","","11.7","","21.3","","","",,"",,""
"1915-03","1915","03","","","","","","","","","","","0.8","","0.8","","1.5","","","",,"",,""
"1915-04","1915","04","","","","","","","","","","","47.2","","0.0","T","47.2","","","",,"",,""
"1915-05","1915","05","","","","","","","","","","","71.1","","0.0","","71.1","","","",,"",,""
"1915-06","1915","06","","","","","","","","","","","69.3","","0.0","","69.3","","","",,"",,""
"1915-07","1915","07","","","","","","","","","","","38.1","","0.0","","38.1","","","",,"",,""
"1915-08","1915","08","","","","","","","","","","","106.2","","0.0","","106.2","","","",,"",,""
"1915-09","1915","09","","","","","","","","","","","124.7","","0.0","","124.7","","","",,"",,""
"1915-10","1915","10","","","","","","","","","","","60.5","","0.0","","60.5","","","",,"",,""
"1915-11","1915","11","","","","","","","","","","","66.3","","8.4","","74.7","","","",,"",,""
"1915-12","1915","12","","","","","","","","","","","0.0","","22.1","","22.1","","","",,"",,""
"1916-01","1916","01","","","","","","","","","","","35.3","","26.7","","62.0","","","",,"",,""
"1916-02","1916","02","","","","","","","","","","","0.0","","11.4","","11.4","","","",,"",,""
"1916-03","1916","03","","","","","","","","","","","41.7","","21.1","","62.7","","","",,"",,""
"1916-04","1916","04","","","","","","","","","","","73.7","","2.8","","76.5","","","",,"",,""
"1916-05","1916","05","","","","","","","","","","","75.7","","0.0","","75.7","","","",,"",,""
"1916-06","1916","06","","","","","","","","","","","63.5","","0.0","","63.5","","","",,"",,""
"1916-07","1916","07","","","","","","","","","","","28.2","","0.0","","28.2","","","",,"",,""
"1916-08","1916","08","","","","","","","","","","","68.3","","0.0","","68.3","","","",,"",,""
"1916-09","1916","09","","","","","","","","","","","119.9","","0.0","T","119.9","","","",,"",,""
"1916-10","1916","10","","","","","","","","","","","101.6","","0.0","T","101.6","","","",,"",,""
"1916-11","1916","11","","","","","","","","","","","61.7","","5.3","","67.1","","","",,"",,""
"1916-12","1916","12","","","","","","","","","","","24.6","","28.4","","53.1","","","",,"",,""
"1917-01","1917","01","","","","","","","","","","","2.5","","16.5","","19.1","","","",,"",,""
"1917-02","1917","02","","","","","","","","","","","0.0","","27.2","","27.2","","","",,"",,""
"1917-03","1917","03","","","","","","","","","","","45.2","","58.4","","103.6","","","",,"",,""
"1917-04","1917","04","","","","","","","","","","","38.9","","0.0","","38.9","","","",,"",,""
"1917-05","1917","05","","","","","","","","","","","77.7","","0.0","","77.7","","","",,"",,""
"1917-06","1917","06","","","","","","","","","","","113.8","","0.0","","113.8","","","",,"",,""
"1917-07","1917","07","","","","","","","","","","","101.6","","0.0","","101.6","","","",,"",,""
"1917-08","1917","08","","","","","","","","","","","77.7","","0.0","","77.7","","","",,"",,""
"1917-09","1917","09","","","","","","","","","","","45.7","","0.0","","45.7","","","",,"",,""
"1917-10","1917","10","","","","","","","","","","","102.4","","0.0","T","102.4","","","",,"",,""
"1917-11","1917","11","","","","","","","","","","","3.6","","18.5","","22.1","","","",,"",,""
"1917-12","1917","12","","","","","","","","","","","12.7","","36.1","","48.8","","","",,"",,""
"1918-01","1918","01","","M","","M","","M","","M","","M","0.0","","26.9","","26.9","","","",,"",,""
"1918-02","1918","02","","M","","M","","M","","M","","M","11.4","","51.8","","63.2","","","",,"",,""
"1918-03","1918","03","","M","","M","","M","","M","","M","0.8","","11.4","","12.2","","","",,"",,""
"1918-04","1918","04","","M","","M","","M","","M","","M","20.1","","0.0","T","20.1","","","",,"",,""
"1918-05","1918","05","","M","","M","","M","","M","","M","96.3","","0.0","","96.3","","","",,"",,""
"1918-06","1918","06","19.8","","7.7","","13.8","","26.1","","2.2","","72.9","","0.0","","72.9","","","",,"",,""
"1918-07","1918","07","24.9","","12.3","","18.6","","32.2","","5.0","","63.2","","0.0","","63.2","","","",,"",,""
"1918-08","1918","08","23.3","","10.9","","17.1","","31.1","","2.2","","98.0","","0.0","","98.0","","","",,"",,""
"1918-09","1918","09","14.7","","4.3","","9.5","","21.7","","-0.6","","92.7","","0.0","T","92.7","","","",,"",,""
"1918-10","1918","10","11.0","","2.7","","6.9","","20.6","","-3.9","","122.4","","2.5","","125.0","","","",,"",,""
"1918-11","1918","11","5.6","","-2.1","","1.8","","13.9","","-11.1","S","71.9","","3.8","","75.7","","","",,"",,""
"1918-12","1918","12","-2.8","","-11.5","","-7.2","","10.0","","-19.4","","19.8","","21.1","","40.9","","","",,"",,""
"1919-01","1919","01","-4.5","","-15.3","","-9.9","","2.2","","-34.4","S","0.8","","48.0","","48.8","","","",,"",,""
"1919-02","1919","02","-3.7","","-15.3","","-9.5","","1.1","","-30.0","","0.0","","33.5","","33.5","","","",,"",,""
"1919-03","1919","03","1.1","","-10.5","","-4.7","","9.4","","-27.8","","65.0","","14.7","","79.8","","","",,"",,""
"1919-04","1919","04","7.7","","-2.9","","2.4","","15.6","S","-18.9","","50.5","","19.3","","69.9","","","",,"",,""
"1919-05","1919","05","17.6","","5.4","","11.5","","31.7","","-2.8","","77.2","","0.0","T","77.2","","","",,"",,""
"1919-06","1919","06","26.8","","13.7","","20.3","","32.8","","3.3","","75.9","","0.0","","75.9","","","",,"",,""
"1919-07","1919","07","27.2","","12.4","","19.8","","34.4","","6.1","S","29.7","","0.0","","29.7","","","",,"",,""
"1919-08","1919","08","22.7","","11.4","","17.1","","31.7","","4.4","S","82.8","","0.0","","82.8","","","",,"",,""
"1919-09","1919","09","18.6","","7.9","","13.3","","28.9","","0.0","","104.9","","0.0","","104.9","","","",,"",,""
"1919-10","1919","10","10.2","","1.7","","6.0","","21.1","","-6.7","","84.6","","17.3","","101.9","","","",,"",,""
"1919-11","1919","11","1.3","","-6.3","","-2.5","","10.6","","-22.2","","59.9","","22.6","","82.6","","","",,"",,""
"1919-12","1919","12","-6.9","","-18.4","","-12.7","","2.2","","-33.3","","1.3","","42.7","","43.9","","","",,"",,""
"1920-01","1920","01","-11.7","","-27.5","","-19.6","","-1.1","S","-40.0","S","0.0","","41.9","","41.9","","","",,"",,""
"1920-02","1920","02","-6.4","","-20.7","","-13.6","","-0.6","S","-33.3","","0.0","","25.4","","25.4","","","",,"",,""
"1920-03","1920","03","1.8","","-10.4","","-4.3","","13.9","","-30.0","","26.7","","30.7","","57.4","","","",,"",,""
"1920-04","1920","04","7.3","","-2.6","","2.4","","16.1","","-12.2","","80.0","","13.7","","93.7","","","",,"",,""
"1920-05","1920","05","17.4","","3.7","","10.6","","26.7","","-2.2","","22.1","","0.0","T","22.1","","","",,"",,""
"1920-06","1920","06","23.5","","10.2","","16.9","","30.0","","3.9","S","75.4","","0.0","","75.4","","","",,"",,""
"1920-07","1920","07","22.6","","11.2","","16.9","","27.8","","5.6","S","49.8","","0.0","","49.8","","","",,"",,""
"1920-08","1920","08","25.6","","11.9","","18.8","","30.0","","3.3","","70.9","","0.0","","70.9","","","",,"",,""
