"Station Name","ELLIOT LAKE"
"Province","ONTARIO"
"Latitude","46.38"
"Longitude","-82.65"
"Elevation","312.40"
"Climate Identifier","6052258"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-02","1959","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-03","1959","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-04","1959","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-05","1959","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-06","1959","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-07","1959","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-08","1959","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-09","1959","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-10","1959","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-11","1959","11","-0.3","","-8.6","","-4.5","","8.9","","-20.6","","","M","","M","","M","","",,"",,""
"1959-12","1959","12","","M","-11.1","","","M","6.1","","-23.3","","9.4","","26.2","","35.6","","","",,"",,""
"1960-01","1960","01","-5.9","","-14.7","","-10.3","","1.1","","-28.3","","","M","","M","","M","","",,"",,""
"1960-02","1960","02","-4.4","","-16.7","","-10.6","","2.2","","-25.6","","3.3","","28.2","","31.5","","","",,"",,""
"1960-03","1960","03","-2.3","","-16.3","","-9.3","","5.0","","-30.0","","26.2","","18.0","","44.2","","","",,"",,""
"1960-04","1960","04","7.4","","-3.2","","2.1","","20.0","","-12.8","","147.3","","3.3","","150.6","","","",,"",,""
"1960-05","1960","05","16.9","","6.2","","11.6","","25.6","","0.0","","69.1","","0.0","T","69.1","","","",,"",,""
"1960-06","1960","06","21.3","","9.2","","15.3","","27.2","","5.0","S","57.2","","0.0","","57.2","","","",,"",,""
"1960-07","1960","07","23.1","","11.7","","17.4","","28.3","S","6.7","","31.5","","0.0","","31.5","","","",,"",,""
"1960-08","1960","08","24.3","","12.1","","18.2","","28.9","","6.7","","72.6","","0.0","","72.6","","","",,"",,""
"1960-09","1960","09","16.9","","8.2","","12.6","","30.0","","1.7","","107.7","","0.0","","107.7","","","",,"",,""
"1960-10","1960","10","11.5","","2.6","","7.1","","19.4","","-4.4","","84.6","","0.0","","84.6","","","",,"",,""
"1960-11","1960","11","4.8","","-1.3","","1.8","","12.8","","-6.7","","79.2","","48.8","","128.0","","","",,"",,""
"1960-12","1960","12","-4.9","","-14.6","","-9.8","","7.8","","-29.4","","0.5","","22.4","","22.9","","","",,"",,""
"1961-01","1961","01","-8.1","","-19.1","","-13.6","","3.9","","-31.7","","0.0","","5.6","","5.6","","15","",,"",,""
"1961-02","1961","02","-1.4","","-14.2","","-7.8","","6.7","","-26.1","","0.0","","","M","","M","","M",,"",,""
"1961-03","1961","03","","M","-8.1","","","M","13.3","","-21.1","","29.5","","22.6","","52.1","","","M",,"",,""
"1961-04","1961","04","8.3","","-1.0","","3.7","","14.4","","-6.1","","58.7","","2.8","","61.5","","","M",,"",,""
"1961-05","1961","05","15.8","","3.7","","9.8","","25.6","","-3.3","","49.0","","11.4","","60.5","","","M",,"",,""
"1961-06","1961","06","20.6","","8.2","","14.4","","31.1","","2.8","","103.9","","0.0","","103.9","","","M",,"",,""
