"Station Name","MISSISSAGI ONT HYDRO"
"Province","ONTARIO"
"Latitude","46.43"
"Longitude","-83.38"
"Elevation","225.60"
"Climate Identifier","6055210"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-05","1970","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-06","1970","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-07","1970","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-08","1970","08","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","195.3","","0.0","","195.3","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","102.9","","0.0","","102.9","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","75.2","","20.3","","95.5","","0","",,"",,""
"1970-12","1970","12","","","","","","","","","","","17.5","","33.0","","50.5","","","M",,"",,""
"1971-01","1971","01","","","","","","","","","","","0.0","","89.9","","89.9","","","M",,"",,""
"1971-02","1971","02","","","","","","","","","","","31.0","","63.5","","94.5","","","M",,"",,""
"1971-03","1971","03","","","","","","","","","","","49.3","","39.1","","88.4","","","M",,"",,""
"1971-04","1971","04","","","","","","","","","","","24.6","","13.0","","37.6","","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","97.3","","0.0","","97.3","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","49.8","","0.0","","49.8","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","96.8","","0.0","","96.8","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","66.0","","0.0","","66.0","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","77.2","","0.0","","77.2","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","45.7","","0.0","","45.7","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","38.4","","14.7","","53.1","","0","",,"",,""
"1971-12","1971","12","","","","","","","","","","","61.0","","54.1","","115.1","","","M",,"",,""
"1972-01","1972","01","","","","","","","","","","","11.2","","59.9","","71.1","","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","0.0","","72.4","","72.4","","","M",,"",,""
"1972-03","1972","03","","","","","","","","","","","5.6","","36.8","","42.4","","","M",,"",,""
"1972-04","1972","04","","","","","","","","","","","51.3","","5.1","","56.4","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","68.1","","0.0","","68.1","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","35.6","","0.0","","35.6","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","64.8","","0.0","","64.8","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","194.1","","0.0","","194.1","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","81.5","","0.0","","81.5","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","34.5","","0.0","T","34.5","","0","",,"",,""
"1972-11","1972","11","","","","","","","","","","","39.1","","3.6","","42.7","","","M",,"",,""
"1972-12","1972","12","","","","","","","","","","","14.5","","75.4","","89.9","","","M",,"",,""
"1973-01","1973","01","","","","","","","","","","","22.6","","20.8","","43.4","","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","14.5","","22.6","","37.1","","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","39.1","","0.0","","39.1","","0","",,"",,""
"1973-04","1973","04","","","","","","","","","","","53.6","","3.8","","57.4","","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","132.8","","0.0","T","132.8","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","91.2","","0.0","","91.2","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","132.3","","0.0","","132.3","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","144.3","","0.0","","144.3","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","49.3","","0.0","","49.3","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","57.9","","0.0","T","57.9","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","53.6","","7.1","","60.7","","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","31.8","","38.4","","70.1","","","M",,"",,""
"1974-01","1974","01","","","","","","","","","","","11.4","","35.8","","47.2","","","M",,"",,""
"1974-02","1974","02","","","","","","","","","","","0.0","","49.5","","49.5","","","M",,"",,""
"1974-03","1974","03","","","","","","","","","","","7.4","","42.7","","50.0","","","M",,"",,""
"1974-04","1974","04","","","","","","","","","","","81.3","","6.4","","87.6","","","M",,"",,""
