"Station Name","ELLIOT LAKE DENISON"
"Province","ONTARIO"
"Latitude","46.50"
"Longitude","-82.62"
"Elevation","434.30"
"Climate Identifier","6052260"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1974-01","1974","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-03","1974","03","-0.8","","-11.0","","-5.9","","10.0","","-21.1","","0.8","","17.3","","18.0","","","M",,"",,""
"1974-04","1974","04","9.1","","-2.3","","3.4","","24.4","","-13.3","","61.2","","6.6","","67.8","","","M",,"",,""
"1974-05","1974","05","13.8","","3.2","","8.5","","23.9","","-4.4","","47.0","","2.5","","49.5","","0","",,"",,""
"1974-06","1974","06","20.2","","10.4","","15.3","","27.2","","4.4","S","65.5","","0.0","","65.5","","0","",,"",,""
"1974-07","1974","07","23.6","","12.7","","18.2","","31.1","","5.6","","67.8","","0.0","","67.8","","0","",,"",,""
"1974-08","1974","08","22.7","","12.7","","17.7","","28.3","","7.2","S","41.1","","0.0","","41.1","","0","",,"",,""
"1974-09","1974","09","15.2","","5.7","","10.5","","25.0","","-2.8","","91.7","","5.1","","96.8","","","M",,"",,""
"1974-10","1974","10","8.0","","0.6","","4.3","","15.6","","-8.3","","117.6","","0.0","T","117.6","","","M",,"",,""
"1974-11","1974","11","3.1","","-3.2","","-0.1","","12.8","","-15.0","","33.8","","16.3","","50.0","","","M",,"",,""
"1974-12","1974","12","-0.8","","-7.3","","-4.1","","4.4","","-17.2","","0.0","T","52.8","","52.8","","","M",,"",,""
"1975-01","1975","01","-5.0","","-13.6","","-9.3","","8.3","","-31.7","","15.5","","92.2","","107.7","","","M",,"",,""
"1975-02","1975","02","-3.9","","-12.8","","-8.4","","5.6","","-26.1","S","0.0","T","68.6","","68.6","","","M",,"",,""
"1975-03","1975","03","-1.1","","-11.4","","-6.3","","7.8","","-22.2","","1.8","","54.1","","55.9","","","M",,"",,""
"1975-04","1975","04","6.3","","-5.6","","0.4","","13.9","","-16.1","","64.3","","0.0","","64.3","","0","",,"",,""
"1975-05","1975","05","20.2","","8.9","","14.6","","30.6","","0.0","S","63.2","","0.0","","63.2","","0","",,"",,""
"1975-06","1975","06","22.1","","11.6","","16.9","","30.6","","4.4","","113.0","","0.0","","113.0","","0","",,"",,""
"1975-07","1975","07","25.8","","14.2","","20.0","","37.8","","6.7","","20.6","","0.0","","20.6","","0","",,"",,""
"1975-08","1975","08","24.2","","12.6","","18.4","","35.6","","5.0","","36.8","","0.0","","36.8","","0","",,"",,""
"1975-09","1975","09","15.1","","6.9","","11.0","","21.1","S","1.1","S","139.4","","0.0","","139.4","","0","",,"",,""
"1975-10","1975","10","11.7","","3.6","","7.7","","18.3","","-10.6","","45.7","","0.0","T","45.7","","","M",,"",,""
"1975-11","1975","11","4.8","","-2.3","","1.3","","14.4","","-17.8","S","72.9","","10.4","","83.3","","","M",,"",,""
"1975-12","1975","12","-5.1","","-13.2","","-9.2","","9.4","","-31.1","","9.7","","11.4","","21.1","","","M",,"",,""
"1976-01","1976","01","-9.6","","-19.2","","-14.4","","-1.7","S","-32.2","","0.0","","110.0","","110.0","","","M",,"",,""
"1976-02","1976","02","-3.5","","-13.0","","-8.3","","8.9","","-27.8","S","0.0","T","68.3","","68.3","","","M",,"",,""
"1976-03","1976","03","-0.1","","-10.6","","-5.4","","9.4","","-23.3","","24.9","","43.4","","68.3","","","M",,"",,""
"1976-04","1976","04","10.6","","-0.4","","5.1","","23.9","","-12.2","","37.6","","9.1","","46.7","","","M",,"",,""
"1976-05","1976","05","15.3","","3.9","","9.6","","23.9","S","-2.8","S","57.7","","0.0","T","57.7","","0","",,"",,""
"1976-06","1976","06","23.6","","10.8","","17.2","","30.6","","3.3","","51.3","","0.0","","51.3","","0","",,"",,""
"1976-07","1976","07","24.4","","13.1","","18.8","","30.6","","7.8","S","39.9","","0.0","","39.9","","0","",,"",,""
"1976-08","1976","08","24.3","","11.2","","17.8","","32.2","","-0.6","","33.8","","0.0","","33.8","","0","",,"",,""
"1976-09","1976","09","16.8","","4.7","","10.8","","29.4","","-2.8","","118.1","","0.0","","118.1","","0","",,"",,""
"1976-10","1976","10","8.2","","0.6","","4.4","","22.8","","-7.2","","31.0","","0.0","T","31.0","","0","",,"",,""
"1976-11","1976","11","-0.9","","-7.3","","-4.1","","6.1","","-20.0","","0.0","T","41.4","","41.4","","","M",,"",,""
