"Station Name","ELLIOT LAKE STANLEIGH"
"Province","ONTARIO"
"Latitude","46.42"
"Longitude","-82.65"
"Elevation","374.00"
"Climate Identifier","6052268"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1984-01","1984","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-02","1984","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-03","1984","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-04","1984","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-05","1984","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-06","1984","06","","M","","M","","M","","M","","M","106.7","","0.0","","106.7","","0","",,"",,""
"1984-07","1984","07","","M","","M","","M","","M","","M","53.2","","0.0","","53.2","","0","",,"",,""
"1984-08","1984","08","","M","","M","","M","","M","","M","117.0","","0.0","","117.0","","0","",,"",,""
"1984-09","1984","09","","M","","M","","M","","M","","M","102.2","","0.0","","102.2","","","M",,"",,""
"1984-10","1984","10","13.1","","4.1","","8.6","","21.5","","-6.0","","122.6","E","0.0","","122.6","E","","M",,"",,""
"1984-11","1984","11","3.9","","-2.9","","0.5","","11.0","S","-11.5","S","95.2","","0.0","","95.2","","","M",,"",,""
"1984-12","1984","12","-2.1","E","-10.4","","-6.3","E","8.0","","-24.0","","25.4","E","59.9","E","85.3","E","27","",,"",,""
"1985-01","1985","01","-8.0","E","-16.9","","-12.5","E","-2.0","","-28.0","S","0.0","","65.0","","65.0","","30","",,"",,""
"1985-02","1985","02","-5.7","","-15.1","","-10.4","","4.0","S","-31.0","","11.0","","66.0","","77.0","","40","",,"",,""
"1985-03","1985","03","0.9","","-8.5","","-3.8","","8.0","","-22.0","","44.6","","27.0","","71.6","","","M",,"",,""
"1985-04","1985","04","9.0","","-1.0","","4.0","","26.0","","-13.0","","43.1","","30.0","","73.1","","0","",,"",,""
"1985-05","1985","05","17.1","","6.2","","11.7","","24.5","","-1.5","","79.8","","0.0","","79.8","","0","",,"",,""
