"Station Name","ELLIOT LAKE A"
"Province","ONTARIO"
"Latitude","46.35"
"Longitude","-82.56"
"Elevation","331.30"
"Climate Identifier","6052259"
"WMO Identifier",""
"TC Identifier","YEL"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1995-07","1995","07","24.6","","13.8","","19.2","","34.0","","8.0","S","102.8","","0.0","","102.8","","0","",,"",,""
"1995-08","1995","08","24.5","","14.2","","19.4","","31.5","","7.0","S","158.5","","0.0","","158.5","","0","",,"",,""
"1995-09","1995","09","16.1","","6.3","","11.2","","22.5","","-0.5","","82.3","","0.0","","82.3","","0","",,"",,""
"1995-10","1995","10","10.9","","4.3","","7.6","","22.5","","-4.0","","110.8","","0.0","","110.8","","0","",,"",,""
"1995-11","1995","11","-0.6","","-8.8","","-4.7","","6.5","","-21.0","","32.6","","74.8","E","107.4","E","25","",,"",,""
"1995-12","1995","12","-6.4","","-14.5","","-10.5","","0.5","","-25.0","","0.0","","81.7","","88.4","","","M",,"",,""
"1996-01","1996","01","-6.9","","-18.1","","-12.5","","8.0","","-30.5","","24.8","","80.1","","96.2","","50","",,"",,""
"1996-02","1996","02","-5.6","","-16.4","","-11.0","","3.5","","-33.0","","5.8","E","29.9","","41.2","E","46","",,"",,""
"1996-03","1996","03","-0.7","E","-11.4","","-6.0","E","7.5","","-22.5","","23.0","","14.5","","32.0","","5","",,"",,""
"1996-04","1996","04","5.4","","-3.2","","1.1","","13.0","","-10.0","S","68.8","","38.8","","107.6","","","M",,"",,""
"1996-05","1996","05","15.5","","3.3","","9.4","","25.0","","-2.0","S","49.4","","0.0","","49.4","","0","",,"",,""
"1996-06","1996","06","22.7","","12.7","","17.7","","29.0","","6.0","","122.4","","0.0","","122.4","","0","",,"",,""
"1996-07","1996","07","21.9","","12.0","","17.0","","27.5","S","8.0","","128.4","","0.0","","128.4","","0","",,"",,""
"1996-08","1996","08","24.2","","12.5","","18.4","","29.0","","7.0","S","145.6","","0.0","","145.6","","0","",,"",,""
"1996-09","1996","09","19.5","","9.7","","14.6","","29.5","","-1.0","","157.0","","0.0","","157.0","","0","",,"",,""
"1996-10","1996","10","10.8","E","1.4","E","6.0","E","20.5","E","-7.0","E","128.3","","0.0","","128.3","","0","",,"",,""
"1996-11","1996","11","1.3","E","-5.9","E","-2.3","E","9.5","E","-15.0","E","50.4","E","11.0","E","61.4","E","","M",,"",,""
"1996-12","1996","12","-2.9","","-9.2","","-6.1","","3.5","","-25.0","","11.2","","147.1","E","149.0","","48","",,"",,""
"1997-01","1997","01","-8.2","E","-19.4","E","-13.6","E","3.0","B","-37.0","E","0.0","I","117.2","I","77.5","I","65","",,"",,""
"1997-02","1997","02","-3.6","E","-14.8","E","-8.9","I","7.0","E","-27.5","E","4.0","","64.8","","51.0","","","M",,"",,""
"1997-03","1997","03","0.1","I","-11.5","I","-5.7","I","13.0","I","-22.5","I","0.0","","54.5","","55.8","","","",,"",,""
"1997-04","1997","04","8.8","E","-3.3","E","2.7","E","16.5","E","-15.0","E","43.0","I","0.0","I","43.0","I","","",,"",,""
"1997-05","1997","05","12.7","","2.5","","7.6","","22.5","","-3.0","","61.6","","0.0","","61.6","","0","",,"",,""
"1997-06","1997","06","24.9","","10.9","","17.9","","31.0","","4.0","","58.4","","0.0","","58.4","","0","",,"",,""
"1997-07","1997","07","24.4","","12.3","","18.4","","30.0","","4.0","","48.2","","0.0","","48.2","","0","",,"",,""
"1997-08","1997","08","21.9","","10.3","","16.1","","29.0","","5.0","","80.6","","0.0","","80.6","","0","",,"",,""
"1997-09","1997","09","17.7","","8.0","","12.9","","22.0","S","-1.5","S","88.4","","0.0","","88.4","","0","",,"",,""
"1997-10","1997","10","11.2","E","1.5","E","6.4","E","22.5","E","-9.0","E","61.4","","11.0","","69.9","","","M",,"",,""
"1997-11","1997","11","2.6","","-4.6","E","-0.9","E","11.5","","-16.0","E","41.6","","27.0","","78.8","","","",,"",,""
"1997-12","1997","12","-1.0","","-10.3","E","-5.7","E","6.5","","-26.0","E","0.0","","37.8","E","37.8","E","","M",,"",,""
"1998-01","1998","01","-4.4","","-14.5","E","-9.7","E","6.0","","-27.0","B","2.0","E","77.2","","69.2","E","","",,"",,""
"1998-02","1998","02","1.5","","-7.6","E","-3.1","E","8.0","","-21.5","E","6.0","E","6.2","","16.4","E","","",,"",,""
"1998-03","1998","03","1.9","E","-9.4","E","-3.9","E","12.0","","-28.0","E","69.8","E","61.6","E","136.4","E","","",,"",,""
"1998-04","1998","04","12.9","E","0.3","E","6.6","E","20.0","B","-6.0","E","25.9","","0.0","","25.9","","0","",,"",,""
"1998-05","1998","05","21.3","","7.8","","14.6","","28.5","","1.5","","94.4","","0.0","","94.4","","0","",,"",,""
"1998-06","1998","06","21.5","","9.9","","15.7","","29.0","","-1.0","S","119.2","","0.0","","119.2","","0","",,"",,""
