date,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2018-04-01,82.87,7.31,19,"1994-04-01 2012-04-01",9.18,2.39,19,"1994-04-01 2012-04-01",19.61,1.94,19,"1994-04-01 2012-04-01",43.79,7.78,19,"1994-04-01 2012-04-01",-0.82,1.46,19,"1994-04-01 2012-04-01",6.62,1.02,19,"1994-04-01 2012-04-01",70.91,43.9,17,"1996-04-01 2012-04-01",61.43,39.96,17,"1996-04-01 2012-04-01",9.17,9.9,17,"1996-04-01 2012-04-01",2.5,3.81,15,"1996-04-01 2011-04-01",,,,
2018-03-01,88.14,4.57,19,"1994-03-01 2012-03-01",1.93,2.71,19,"1994-03-01 2012-03-01",18.72,1.21,19,"1994-03-01 2012-03-01",58.38,7.23,19,"1994-03-01 2012-03-01",-8.49,2.78,19,"1994-03-01 2012-03-01",5.48,1.51,19,"1994-03-01 2012-03-01",58.68,34.35,17,"1996-03-01 2012-03-01",27.76,22.29,17,"1996-03-01 2012-03-01",33.49,22.79,17,"1996-03-01 2012-03-01",32.1,19.45,15,"1996-03-01 2012-03-01",,,,
2018-02-01,90.29,3.05,19,"1994-02-01 2012-02-01",-4.07,2.58,19,"1994-02-01 2012-02-01",19.02,2.7,19,"1994-02-01 2012-02-01",68.52,6.22,19,"1994-02-01 2012-02-01",-13.94,2.65,19,"1994-02-01 2012-02-01",5.7,1.12,19,"1994-02-01 2012-02-01",44.88,26.16,17,"1996-02-01 2012-02-01",8.78,9.57,17,"1996-02-01 2012-02-01",44.25,27.39,17,"1996-02-01 2012-02-01",41.5,15.04,15,"1996-02-01 2012-02-01",,,,
2018-01-01,90.44,2.95,18,"1995-01-01 2012-01-01",-6.04,2.6,18,"1995-01-01 2012-01-01",17.41,2.03,18,"1995-01-01 2012-01-01",73.06,4.26,18,"1995-01-01 2012-01-01",-15.25,3.6,18,"1995-01-01 2012-01-01",5.06,1.72,18,"1995-01-01 2012-01-01",68.08,29.96,17,"1996-01-01 2012-01-01",17.36,22.74,17,"1996-01-01 2012-01-01",66.02,22.95,17,"1996-01-01 2012-01-01",30.6,14.86,15,"1996-01-01 2012-01-01",,,,
2017-12-01,92.39,2.02,18,"1994-12-01 2011-12-01",-2.77,2.39,18,"1994-12-01 2011-12-01",17.35,2.79,18,"1994-12-01 2011-12-01",74.07,3.88,18,"1994-12-01 2011-12-01",-10.49,3.13,18,"1994-12-01 2011-12-01",5.27,1.92,18,"1994-12-01 2011-12-01",88.76,37.64,17,"1995-12-01 2011-12-01",28.71,25.04,17,"1995-12-01 2011-12-01",68.94,38.99,17,"1995-12-01 2011-12-01",16.6,13.29,17,"1995-12-01 2011-12-01",,,,
2017-11-01,92.62,1.83,18,"1994-11-01 2011-11-01",3.76,1.95,18,"1994-11-01 2011-11-01",18.15,3.21,18,"1994-11-01 2011-11-01",68.71,4.05,18,"1994-11-01 2011-11-01",-3.15,2.25,18,"1994-11-01 2011-11-01",5.67,1.88,18,"1994-11-01 2011-11-01",95.87,34.73,17,"1995-11-01 2011-11-01",70.72,37.56,17,"1995-11-01 2011-11-01",22.4,18.15,17,"1995-11-01 2011-11-01",2.4,2.98,15,"1995-11-01 2010-11-01",,,,
2017-10-01,90.76,2.2,18,"1994-10-01 2011-10-01",10.92,1.46,18,"1994-10-01 2011-10-01",18.34,2.72,18,"1994-10-01 2011-10-01",58.87,4.77,18,"1994-10-01 2011-10-01",2.32,1.46,18,"1994-10-01 2011-10-01",5.39,1.68,18,"1994-10-01 2011-10-01",110.91,40.38,17,"1995-10-01 2011-10-01",107.72,41.01,17,"1995-10-01 2011-10-01",2.38,4.95,17,"1995-10-01 2011-10-01",0,0.08,17,"1995-10-01 2011-10-01",,,,
2017-09-01,90.81,2.82,18,"1994-09-01 2011-09-01",18.6,1.55,18,"1994-09-01 2011-09-01",17.76,2.47,18,"1994-09-01 2011-09-01",56.92,4.21,18,"1994-09-01 2011-09-01",8.56,1.33,18,"1994-09-01 2011-09-01",4.45,1.61,18,"1994-09-01 2011-09-01",103.19,46.41,17,"1995-09-01 2011-09-01",103.19,46.41,17,"1995-09-01 2011-09-01",0,0,17,"1995-09-01 2011-09-01",0,0,17,"1995-09-01 2011-09-01",,,,
2017-08-01,87.81,3.83,18,"1994-08-01 2011-08-01",23.1,1.31,18,"1994-08-01 2011-08-01",17.76,1.38,18,"1994-08-01 2011-08-01",52.18,3.37,18,"1994-08-01 2011-08-01",12.42,1.36,18,"1994-08-01 2011-08-01",3.82,1.12,18,"1994-08-01 2011-08-01",101.49,35.47,17,"1995-08-01 2011-08-01",101.49,35.47,17,"1995-08-01 2011-08-01",0,0,17,"1995-08-01 2011-08-01",0,0,17,"1995-08-01 2011-08-01",,,,
2017-07-01,85.51,4.43,18,"1994-07-01 2011-07-01",24.13,1.52,18,"1994-07-01 2011-07-01",18.72,1.72,18,"1994-07-01 2011-07-01",51.17,3.32,18,"1994-07-01 2011-07-01",13.44,1.35,18,"1994-07-01 2011-07-01",4.26,1.58,18,"1994-07-01 2011-07-01",84.08,43.97,17,"1995-07-01 2011-07-01",84.08,43.97,17,"1995-07-01 2011-07-01",0,0,17,"1995-07-01 2011-07-01",0,0,17,"1995-07-01 2011-07-01",,,,
2017-06-01,82.61,4.19,18,"1994-06-01 2011-06-01",22.26,1.51,18,"1994-06-01 2011-06-01",18.81,1.58,18,"1994-06-01 2011-06-01",49.48,5.17,18,"1994-06-01 2011-06-01",11.22,1.68,18,"1994-06-01 2011-06-01",4.86,1.37,18,"1994-06-01 2011-06-01",84.53,26.53,16,"1996-06-01 2011-06-01",84.53,26.53,16,"1996-06-01 2011-06-01",0,0,16,"1996-06-01 2011-06-01",0,0.01,16,"1996-06-01 2011-06-01",,,,
2017-05-01,77.84,4.91,18,"1994-05-01 2011-05-01",16.66,2.46,18,"1994-05-01 2011-05-01",20.76,1.79,18,"1994-05-01 2011-05-01",42.68,4.46,18,"1994-05-01 2011-05-01",5.75,1.97,18,"1994-05-01 2011-05-01",6.59,1.66,18,"1994-05-01 2011-05-01",81.41,34.85,16,"1996-05-01 2011-05-01",80.72,34.4,16,"1996-05-01 2011-05-01",0.53,1.71,16,"1996-05-01 2011-05-01",0,0.04,16,"1996-05-01 2011-05-01",,,,
2017-04-01,82.87,7.31,19,"1994-04-01 2012-04-01",9.18,2.39,19,"1994-04-01 2012-04-01",19.61,1.94,19,"1994-04-01 2012-04-01",43.79,7.78,19,"1994-04-01 2012-04-01",-0.82,1.46,19,"1994-04-01 2012-04-01",6.62,1.02,19,"1994-04-01 2012-04-01",70.91,43.9,17,"1996-04-01 2012-04-01",61.43,39.96,17,"1996-04-01 2012-04-01",9.17,9.9,17,"1996-04-01 2012-04-01",2.5,3.81,15,"1996-04-01 2011-04-01",,,,
2017-03-01,88.14,4.57,19,"1994-03-01 2012-03-01",1.93,2.71,19,"1994-03-01 2012-03-01",18.72,1.21,19,"1994-03-01 2012-03-01",58.38,7.23,19,"1994-03-01 2012-03-01",-8.49,2.78,19,"1994-03-01 2012-03-01",5.48,1.51,19,"1994-03-01 2012-03-01",58.68,34.35,17,"1996-03-01 2012-03-01",27.76,22.29,17,"1996-03-01 2012-03-01",33.49,22.79,17,"1996-03-01 2012-03-01",32.1,19.45,15,"1996-03-01 2012-03-01",,,,
2017-02-01,90.29,3.05,19,"1994-02-01 2012-02-01",-4.07,2.58,19,"1994-02-01 2012-02-01",19.02,2.7,19,"1994-02-01 2012-02-01",68.52,6.22,19,"1994-02-01 2012-02-01",-13.94,2.65,19,"1994-02-01 2012-02-01",5.7,1.12,19,"1994-02-01 2012-02-01",44.88,26.16,17,"1996-02-01 2012-02-01",8.78,9.57,17,"1996-02-01 2012-02-01",44.25,27.39,17,"1996-02-01 2012-02-01",41.5,15.04,15,"1996-02-01 2012-02-01",,,,
2017-01-01,90.44,2.95,18,"1995-01-01 2012-01-01",-6.04,2.6,18,"1995-01-01 2012-01-01",17.41,2.03,18,"1995-01-01 2012-01-01",73.06,4.26,18,"1995-01-01 2012-01-01",-15.25,3.6,18,"1995-01-01 2012-01-01",5.06,1.72,18,"1995-01-01 2012-01-01",68.08,29.96,17,"1996-01-01 2012-01-01",17.36,22.74,17,"1996-01-01 2012-01-01",66.02,22.95,17,"1996-01-01 2012-01-01",30.6,14.86,15,"1996-01-01 2012-01-01",,,,
2016-12-01,92.39,2.02,18,"1994-12-01 2011-12-01",-2.77,2.39,18,"1994-12-01 2011-12-01",17.35,2.79,18,"1994-12-01 2011-12-01",74.07,3.88,18,"1994-12-01 2011-12-01",-10.49,3.13,18,"1994-12-01 2011-12-01",5.27,1.92,18,"1994-12-01 2011-12-01",88.76,37.64,17,"1995-12-01 2011-12-01",28.71,25.04,17,"1995-12-01 2011-12-01",68.94,38.99,17,"1995-12-01 2011-12-01",16.6,13.29,17,"1995-12-01 2011-12-01",,,,
2016-11-01,92.62,1.83,18,"1994-11-01 2011-11-01",3.76,1.95,18,"1994-11-01 2011-11-01",18.15,3.21,18,"1994-11-01 2011-11-01",68.71,4.05,18,"1994-11-01 2011-11-01",-3.15,2.25,18,"1994-11-01 2011-11-01",5.67,1.88,18,"1994-11-01 2011-11-01",95.87,34.73,17,"1995-11-01 2011-11-01",70.72,37.56,17,"1995-11-01 2011-11-01",22.4,18.15,17,"1995-11-01 2011-11-01",2.4,2.98,15,"1995-11-01 2010-11-01",,,,
2016-10-01,90.76,2.2,18,"1994-10-01 2011-10-01",10.92,1.46,18,"1994-10-01 2011-10-01",18.34,2.72,18,"1994-10-01 2011-10-01",58.87,4.77,18,"1994-10-01 2011-10-01",2.32,1.46,18,"1994-10-01 2011-10-01",5.39,1.68,18,"1994-10-01 2011-10-01",110.91,40.38,17,"1995-10-01 2011-10-01",107.72,41.01,17,"1995-10-01 2011-10-01",2.38,4.95,17,"1995-10-01 2011-10-01",0,0.08,17,"1995-10-01 2011-10-01",,,,
2016-09-01,90.81,2.82,18,"1994-09-01 2011-09-01",18.6,1.55,18,"1994-09-01 2011-09-01",17.76,2.47,18,"1994-09-01 2011-09-01",56.92,4.21,18,"1994-09-01 2011-09-01",8.56,1.33,18,"1994-09-01 2011-09-01",4.45,1.61,18,"1994-09-01 2011-09-01",103.19,46.41,17,"1995-09-01 2011-09-01",103.19,46.41,17,"1995-09-01 2011-09-01",0,0,17,"1995-09-01 2011-09-01",0,0,17,"1995-09-01 2011-09-01",,,,
2016-08-01,87.81,3.83,18,"1994-08-01 2011-08-01",23.1,1.31,18,"1994-08-01 2011-08-01",17.76,1.38,18,"1994-08-01 2011-08-01",52.18,3.37,18,"1994-08-01 2011-08-01",12.42,1.36,18,"1994-08-01 2011-08-01",3.82,1.12,18,"1994-08-01 2011-08-01",101.49,35.47,17,"1995-08-01 2011-08-01",101.49,35.47,17,"1995-08-01 2011-08-01",0,0,17,"1995-08-01 2011-08-01",0,0,17,"1995-08-01 2011-08-01",,,,
2016-07-01,85.51,4.43,18,"1994-07-01 2011-07-01",24.13,1.52,18,"1994-07-01 2011-07-01",18.72,1.72,18,"1994-07-01 2011-07-01",51.17,3.32,18,"1994-07-01 2011-07-01",13.44,1.35,18,"1994-07-01 2011-07-01",4.26,1.58,18,"1994-07-01 2011-07-01",84.08,43.97,17,"1995-07-01 2011-07-01",84.08,43.97,17,"1995-07-01 2011-07-01",0,0,17,"1995-07-01 2011-07-01",0,0,17,"1995-07-01 2011-07-01",,,,
2016-06-01,82.61,4.19,18,"1994-06-01 2011-06-01",22.26,1.51,18,"1994-06-01 2011-06-01",18.81,1.58,18,"1994-06-01 2011-06-01",49.48,5.17,18,"1994-06-01 2011-06-01",11.22,1.68,18,"1994-06-01 2011-06-01",4.86,1.37,18,"1994-06-01 2011-06-01",84.53,26.53,16,"1996-06-01 2011-06-01",84.53,26.53,16,"1996-06-01 2011-06-01",0,0,16,"1996-06-01 2011-06-01",0,0.01,16,"1996-06-01 2011-06-01",,,,
