Station Name	MASSEY																									
Province	ONTARIO																									
Current Station Operator	Co-operative Climate Network																									
Latitude	46.19																									
Longitude	-82.02																									
Elevation	200																									
Climate Identifier	6065006																									
WMO Identifier																										
TC Identifier																										
																										
Legend																										
A	Accumulated																									
C	"Precipitation occurred, amount uncertain"																									
E	Estimated																									
F	Accumulated and estimated																									
L	Precipitation may or may not have occurred																									
M	Missing																									
N	Temperature missing but known to be > 0																									
S	More than one occurrence																									
T	Trace																									
Y	Temperature missing but known to be < 0																									
[empty]	No data available																									
^	The value displayed is based on incomplete data																									
†	Data that is not subject to review by the National Climate Archives																									
																										
Date/Time	Year	Month	Day	Data Quality	Max Temp (°C)	Max Temp Flag	Min Temp (°C)	Min Temp Flag	Mean Temp (°C)	Mean Temp Flag	Heat Deg Days (°C)	Heat Deg Days Flag	Cool Deg Days (°C)	Cool Deg Days Flag	Total Rain (mm)	Total Rain Flag	Total Snow (cm)	Total Snow Flag	Total Precip (mm)	Total Precip Flag	Snow on Grnd (cm)	Snow on Grnd Flag	Dir of Max Gust (10s deg)	Dir of Max Gust Flag	Spd of Max Gust (km/h)	Spd of Max Gust Flag
1/1/2018	2018	1	1	†	-7.5		-28.5		-18		36		0		0		1		1		22					
1/2/2018	2018	1	2	†	-6.5		-22		-14.3		32.3		0		0		10		10		23					
1/3/2018	2018	1	3	†	-6.5		-9		-7.8		25.8		0		0		1		1		32					
1/4/2018	2018	1	4	†	-18		-28		-23		41		0		0		0		0		31					
1/5/2018	2018	1	5	†	-19.5		-30		-24.8		42.8		0		0		0		0		29					
1/6/2018	2018	1	6	†	-8		-34		-21		39		0		0		1.6		1.6		28					
1/7/2018	2018	1	7	†	-1		-30.5		-15.8		33.8		0		0		6.8		6.8		29					
1/8/2018	2018	1	8	†	-1.5		-5		-3.3		21.3		0		0		2.4		2.4		32					
1/9/2018	2018	1	9	†	-1.5		-9		-5.3		23.3		0		0		0	T	0	T	34					
1/10/2018	2018	1	10	†	5.5		-18.5		-6.5		24.5		0		1		0		1		34					
1/11/2018	2018	1	11	†	8		0		4		14		0		21.6		1		22.6		19					
1/12/2018	2018	1	12	†	-13		-14.5		-13.8		31.8		0		0		0		0		4					
1/13/2018	2018	1	13	†	-13.5		-23.5		-18.5		36.5		0		0		0	T	0	T	4					
1/14/2018	2018	1	14	†	-7.5		-19		-13.3		31.3		0		0		7.6		7.6		4					
1/15/2018	2018	1	15	†	-8		-10.5		-9.3		27.3		0		0		0.6		0.6		11					
1/16/2018	2018	1	16	†	-7		-22		-14.5		32.5		0		0		0.4		0.4		10					
1/17/2018	2018	1	17	†	-3.5		-23		-13.3		31.3		0		0	T	0	T	0	T	8					
1/18/2018	2018	1	18	†	0.5		-7		-3.3		21.3		0		0	T	0		0	T	6					
1/19/2018	2018	1	19	†	1.5		-2.5		-0.5		18.5		0		0	T	0		0	T	4					
1/20/2018	2018	1	20	†	6		-2		2		16		0		0		0		0		4					
1/21/2018	2018	1	21	†	3.5		-3		0.3		17.7		0		0		0		0		2					
1/22/2018	2018	1	22	†	-5.5		-6.5		-6		24		0		0		10		10		1					
1/23/2018	2018	1	23	†	-7		-11.5		-9.3		27.3		0		0		0		0		10					
1/24/2018	2018	1	24	†	-5.5		-19.5		-12.5		30.5		0		0		0		0		10					
1/25/2018	2018	1	25	†	-7		-17.5		-12.3		30.3		0		0		3.8		3.8		10					
1/26/2018	2018	1	26	†	5.5		-12.5		-3.5		21.5		0		0.6		0		0.6		14					
1/27/2018	2018	1	27	†	5.5		0		2.8		15.2		0		0		0		0		8					
1/28/2018	2018	1	28	†	-2		-5.5		-3.8		21.8		0		0		0		0		6					
1/29/2018	2018	1	29	†	-10.5		-19		-14.8		32.8		0		0		0		0		6					
1/30/2018	2018	1	30	†	-6.5		-24		-15.3		33.3		0		0		1.2		1.2		6					
1/31/2018	2018	1	31	†	-1		-20		-10.5		28.5		0		0	T	6.8		6.8		7					
2/1/2018	2018	2	1	†	-9		-12		-10.5		28.5		0		0		0		0		14					
2/2/2018	2018	2	2	†	-15.5		-31.5		-23.5		41.5		0		0		0	T	0	T	14					
2/3/2018	2018	2	3	†	-11		-23		-17		35		0		0		7.6		7.6		14					
2/4/2018	2018	2	4	†	-11		-15		-13		31		0		0		0		0		21					
