Year	Month	 Square Kilometers of Snow Cover 			source: 	https://climate.rutgers.edu/snowcover/table_area.php?ui_set=1&ui_sort=0
1966	11	" 13,860,617 "				
1966	12	" 16,134,999 "				
1967	1	" 17,782,447 "				
1967	2	" 17,188,814 "				
1967	3	" 16,086,071 "				
1967	4	" 14,298,124 "				
1967	5	" 10,702,062 "				
1967	6	" 7,319,591 "				
1967	7	" 4,659,151 "				
1967	8	" 3,449,524 "				
1967	9	" 4,125,359 "				
1967	10	" 8,080,009 "				
1967	11	" 13,107,702 "				
1967	12	" 16,566,156 "				
1968	1	" 17,622,279 "				
1968	2	" 15,978,161 "				
1968	3	" 14,041,333 "				
1968	4	" 12,157,171 "				
1968	5	" 8,007,484 "				
1968	6	" 4,802,479 "				
1968	8	" 2,006,718 "				
1968	9	" 2,891,902 "				
1968	10	" 7,428,596 "				
1968	11	" 13,367,794 "				
1968	12	" 17,293,786 "				
1969	1	" 17,939,581 "				
1969	2	" 17,847,448 "				
1969	3	" 17,292,684 "				
1969	4	" 13,123,907 "				
1969	5	" 8,694,804 "				
1969	11	" 13,072,214 "				
1969	12	" 17,167,148 "				
1970	1	" 18,275,362 "				
1970	2	" 16,739,166 "				
1970	3	" 16,339,489 "				
1970	4	" 14,407,820 "				
1970	5	" 9,733,707 "				
1970	6	" 6,325,880 "				
1970	7	" 3,308,756 "				
1970	8	" 2,168,927 "				
1970	9	" 3,563,708 "				
1970	10	" 8,679,928 "				
1970	11	" 13,437,059 "				
1970	12	" 17,329,434 "				
1971	1	" 17,951,883 "				
1971	2	" 17,136,660 "				
1971	3	" 16,990,920 "				
1971	4	" 13,609,068 "				
1971	5	" 8,958,247 "				
1971	6	" 5,382,487 "				
1971	10	" 9,144,250 "				
1971	11	" 13,993,362 "				
1971	12	" 17,133,980 "				
1972	1	" 16,930,466 "				
1972	2	" 16,898,784 "				
1972	3	" 15,279,730 "				
1972	4	" 13,646,240 "				
1972	5	" 9,813,680 "				
1972	6	" 6,523,376 "				
1972	7	" 3,957,166 "				
1972	8	" 3,480,200 "				
1972	9	" 4,735,739 "				
1972	10	" 9,187,012 "				
1972	11	" 13,195,616 "				
1972	12	" 17,342,472 "				
1973	1	" 16,792,134 "				
1973	2	" 16,854,191 "				
1973	3	" 14,744,359 "				
1973	4	" 13,389,221 "				
1973	5	" 9,546,532 "				
1973	6	" 7,047,755 "				
1973	7	" 3,764,767 "				
1973	8	" 3,195,746 "				
1973	9	" 3,778,570 "				
1973	10	" 7,781,633 "				
1973	11	" 14,454,194 "				
1973	12	" 16,624,979 "				
1974	1	" 17,405,850 "				
1974	2	" 16,572,547 "				
1974	3	" 15,454,330 "				
1974	4	" 14,192,141 "				
1974	5	" 11,478,352 "				
1974	6	" 6,018,160 "				
1974	7	" 3,457,197 "				
1974	8	" 2,536,400 "				
1974	9	" 3,272,342 "				
1974	10	" 9,454,014 "				
1974	11	" 12,152,423 "				
1974	12	" 15,650,776 "				
1975	1	" 17,370,594 "				
1975	2	" 17,485,289 "				
1975	3	" 16,949,162 "				
1975	4	" 15,076,776 "				
1975	5	" 10,138,052 "				
1975	6	" 6,393,796 "				
1975	7	" 2,835,726 "				
1975	8	" 2,554,898 "				
1975	9	" 3,684,989 "				
1975	10	" 8,459,588 "				
1975	11	" 13,400,343 "				
1975	12	" 16,611,018 "				
1976	1	" 17,273,626 "				
1976	2	" 16,695,437 "				
1976	3	" 15,762,930 "				
1976	4	" 11,986,439 "				
1976	5	" 9,964,288 "				
1976	6	" 7,366,651 "				
1976	7	" 4,108,460 "				
1976	8	" 2,941,740 "				
1976	9	" 3,637,716 "				
1976	10	" 8,506,765 "				
1976	11	" 12,955,525 "				
1976	12	" 15,961,077 "				
1977	1	" 17,661,711 "				
1977	2	" 16,053,033 "				
1977	3	" 15,842,046 "				
1977	4	" 13,034,135 "				
1977	5	" 9,626,346 "				
1977	6	" 7,062,656 "				
1977	7	" 3,964,405 "				
1977	8	" 2,830,255 "				
1977	9	" 3,976,267 "				
1977	10	" 7,478,051 "				
1977	11	" 12,382,564 "				
1977	12	" 16,536,760 "				
1978	1	" 18,330,646 "				
1978	2	" 19,035,194 "				
1978	3	" 17,159,045 "				
1978	4	" 13,641,718 "				
1978	5	" 10,622,709 "				
1978	6	" 7,843,096 "				
1978	7	" 5,073,179 "				
1978	8	" 3,855,083 "				
1978	9	" 4,403,476 "				
1978	10	" 7,872,946 "				
1978	11	" 13,653,842 "				
1978	12	" 17,654,045 "				
1979	1	" 18,628,630 "				
1979	2	" 18,794,033 "				
1979	3	" 16,653,031 "				
1979	4	" 14,785,810 "				
1979	5	" 10,480,306 "				
1979	6	" 6,974,396 "				
1979	7	" 4,363,806 "				
1979	8	" 3,186,531 "				
1979	9	" 3,705,199 "				
1979	10	" 6,364,337 "				
1979	11	" 11,483,105 "				
1979	12	" 14,936,065 "				
1980	1	" 17,558,842 "				
1980	2	" 18,201,029 "				
1980	3	" 16,147,909 "				
1980	4	" 13,273,185 "				
1980	5	" 8,878,335 "				
1980	6	" 5,991,038 "				
1980	7	" 3,838,247 "				
1980	8	" 3,465,351 "				
1980	9	" 3,879,553 "				
1980	10	" 6,459,319 "				
1980	11	" 12,618,326 "				
1980	12	" 14,558,566 "				
1981	1	" 16,066,939 "				
1981	2	" 15,905,134 "				
1981	3	" 14,704,791 "				
1981	4	" 12,931,579 "				
1981	5	" 10,097,882 "				
1981	6	" 6,892,279 "				
1981	7	" 3,955,064 "				
1981	8	" 3,707,281 "				
1981	9	" 3,347,612 "				
1981	10	" 8,173,958 "				
1981	11	" 12,563,053 "				
1981	12	" 16,643,963 "				
1982	1	" 18,562,599 "				
1982	2	" 18,012,377 "				
1982	3	" 16,288,922 "				
1982	4	" 14,815,181 "				
1982	5	" 9,840,789 "				
1982	6	" 5,712,960 "				
1982	7	" 2,593,398 "				
1982	8	" 2,370,261 "				
1982	9	" 3,925,814 "				
1982	10	" 7,405,975 "				
1982	11	" 13,678,764 "				
1982	12	" 16,346,626 "				
1983	1	" 17,295,879 "				
1983	2	" 16,922,948 "				
1983	3	" 15,929,410 "				
1983	4	" 13,617,426 "				
1983	5	" 10,037,462 "				
1983	6	" 6,220,954 "				
1983	7	" 3,012,961 "				
1983	8	" 2,295,791 "				
1983	9	" 3,513,028 "				
1983	10	" 8,070,320 "				
1983	11	" 13,476,619 "				
1983	12	" 18,034,865 "				
1984	1	" 18,415,182 "				
1984	2	" 16,799,514 "				
1984	3	" 16,402,117 "				
1984	4	" 12,446,906 "				
1984	5	" 8,963,344 "				
1984	6	" 5,218,968 "				
1984	7	" 2,626,732 "				
1984	8	" 2,150,478 "				
1984	9	" 3,379,545 "				
1984	10	" 7,969,907 "				
1984	11	" 13,412,467 "				
1984	12	" 16,694,665 "				
1985	1	" 18,815,578 "				
1985	2	" 18,292,279 "				
1985	3	" 16,350,799 "				
1985	4	" 13,966,794 "				
1985	5	" 11,200,941 "				
1985	6	" 7,822,251 "				
1985	7	" 3,816,083 "				
1985	8	" 2,610,060 "				
1985	9	" 3,688,886 "				
1985	10	" 7,966,200 "				
1985	11	" 14,872,800 "				
1985	12	" 18,031,374 "				
1986	1	" 17,198,685 "				
1986	2	" 17,902,718 "				
1986	3	" 15,158,105 "				
1986	4	" 13,033,679 "				
1986	5	" 9,799,480 "				
1986	6	" 6,918,281 "				
1986	7	" 3,415,016 "				
1986	8	" 2,694,484 "				
1986	9	" 4,338,418 "				
1986	10	" 8,733,317 "				
1986	11	" 14,417,701 "				
1986	12	" 15,790,280 "				
1987	1	" 17,417,429 "				
1987	2	" 16,476,226 "				
1987	3	" 15,987,527 "				
1987	4	" 11,884,682 "				
1987	5	" 8,563,009 "				
1987	6	" 6,418,617 "				
1987	7	" 3,713,359 "				
1987	8	" 2,389,890 "				
1987	9	" 3,425,393 "				
1987	10	" 6,385,673 "				
1987	11	" 11,544,667 "				
1987	12	" 16,162,759 "				
1988	1	" 18,228,735 "				
1988	2	" 17,075,385 "				
1988	3	" 14,623,317 "				
1988	4	" 12,462,294 "				
1988	5	" 9,051,972 "				
1988	6	" 5,438,070 "				
1988	7	" 2,663,208 "				
1988	8	" 2,116,500 "				
1988	9	" 3,133,890 "				
1988	10	" 7,202,867 "				
1988	11	" 13,319,215 "				
1988	12	" 15,695,523 "				
1989	1	" 16,721,758 "				
1989	2	" 17,429,376 "				
1989	3	" 15,839,077 "				
1989	4	" 13,466,305 "				
1989	5	" 8,947,183 "				
1989	6	" 5,357,010 "				
1989	7	" 2,628,628 "				
1989	8	" 2,024,923 "				
1989	9	" 3,810,890 "				
1989	10	" 7,632,563 "				
1989	11	" 13,527,484 "				
1989	12	" 17,578,498 "				
1990	1	" 16,860,717 "				
1990	2	" 16,642,452 "				
1990	3	" 15,049,286 "				
1990	4	" 12,684,232 "				
1990	5	" 8,947,907 "				
1990	6	" 5,073,849 "				
1990	7	" 2,575,711 "				
1990	8	" 2,155,249 "				
1990	9	" 3,262,886 "				
1990	10	" 7,668,761 "				
1990	11	" 12,136,433 "				
1990	12	" 16,932,697 "				
1991	1	" 17,638,419 "				
1991	2	" 16,122,573 "				
1991	3	" 14,982,223 "				
1991	4	" 12,397,412 "				
1991	5	" 8,826,110 "				
1991	6	" 6,179,853 "				
1991	7	" 2,753,296 "				
1991	8	" 2,449,957 "				
1991	9	" 3,603,439 "				
1991	10	" 8,345,963 "				
1991	11	" 14,751,202 "				
1991	12	" 16,072,059 "				
1992	1	" 16,876,360 "				
1992	2	" 15,830,774 "				
1992	3	" 14,698,979 "				
1992	4	" 12,779,736 "				
1992	5	" 9,769,464 "				
1992	6	" 6,312,268 "				
1992	7	" 2,955,170 "				
1992	8	" 2,243,401 "				
1992	9	" 4,201,832 "				
1992	10	" 8,372,708 "				
1992	11	" 13,973,747 "				
1992	12	" 17,948,740 "				
1993	1	" 17,897,872 "				
1993	2	" 17,801,495 "				
1993	3	" 15,802,321 "				
1993	4	" 12,294,442 "				
1993	5	" 8,822,101 "				
1993	6	" 4,941,576 "				
1993	7	" 2,459,054 "				
1993	8	" 2,233,759 "				
1993	9	" 3,754,225 "				
1993	10	" 7,809,627 "				
1993	11	" 14,465,463 "				
1993	12	" 16,015,549 "				
1994	1	" 17,724,084 "				
1994	2	" 17,178,356 "				
1994	3	" 15,183,402 "				
1994	4	" 12,956,838 "				
1994	5	" 8,716,908 "				
1994	6	" 5,547,614 "				
1994	7	" 2,575,572 "				
1994	8	" 2,297,444 "				
1994	9	" 3,441,267 "				
1994	10	" 6,927,356 "				
1994	11	" 13,624,326 "				
1994	12	" 16,641,226 "				
1995	1	" 17,332,000 "				
1995	2	" 16,393,638 "				
1995	3	" 15,232,745 "				
1995	4	" 14,412,397 "				
1995	5	" 9,025,387 "				
1995	6	" 5,706,387 "				
1995	7	" 2,716,481 "				
1995	8	" 2,678,916 "				
1995	9	" 3,996,250 "				
1995	10	" 7,852,312 "				
1995	11	" 14,099,553 "				
1995	12	" 16,465,507 "				
1996	1	" 17,464,734 "				
1996	2	" 16,809,785 "				
1996	3	" 16,205,838 "				
1996	4	" 13,869,929 "				
1996	5	" 10,156,213 "				
1996	6	" 6,099,936 "				
1996	7	" 2,740,931 "				
1996	8	" 2,347,317 "				
1996	9	" 4,058,317 "				
1996	10	" 9,112,837 "				
1996	11	" 14,807,950 "				
1996	12	" 16,709,609 "				
1997	1	" 17,615,237 "				
1997	2	" 17,105,410 "				
1997	3	" 15,850,975 "				
1997	4	" 14,634,916 "				
1997	5	" 10,907,990 "				
1997	6	" 6,428,562 "				
1997	7	" 3,101,157 "				
1997	8	" 2,774,633 "				
1997	9	" 4,002,672 "				
1997	10	" 8,445,374 "				
1997	11	" 13,468,423 "				
1997	12	" 16,857,426 "				
1998	1	" 17,078,136 "				
1998	2	" 16,414,361 "				
1998	3	" 16,331,612 "				
1998	4	" 12,230,656 "				
1998	5	" 8,265,784 "				
1998	6	" 5,169,454 "				
1998	7	" 2,795,514 "				
1998	8	" 2,351,742 "				
1998	9	" 3,127,391 "				
1998	10	" 7,661,512 "				
1998	11	" 12,192,588 "				
1998	12	" 16,401,369 "				
1999	1	" 17,043,675 "				
1999	2	" 16,310,614 "				
1999	3	" 15,721,740 "				
1999	4	" 12,697,822 "				
1999	5	" 9,246,995 "				
1999	6	" 5,349,579 "				
1999	7	" 3,025,240 "				
1999	8	" 2,382,125 "				
1999	9	" 3,522,358 "				
1999	10	" 7,788,667 "				
1999	11	" 11,960,072 "				
1999	12	" 15,357,144 "				
2000	1	" 17,255,502 "				
2000	2	" 16,754,474 "				
2000	3	" 14,536,470 "				
2000	4	" 12,579,109 "				
2000	5	" 9,736,222 "				
2000	6	" 6,200,909 "				
2000	7	" 2,867,012 "				
2000	8	" 2,512,291 "				
2000	9	" 4,433,350 "				
2000	10	" 8,259,774 "				
2000	11	" 14,276,289 "				
2000	12	" 17,924,137 "				
2001	1	" 18,087,833 "				
2001	2	" 17,676,661 "				
2001	3	" 16,127,442 "				
2001	4	" 13,093,784 "				
2001	5	" 9,231,748 "				
2001	6	" 5,957,282 "				
2001	7	" 3,276,582 "				
2001	8	" 2,489,615 "				
2001	9	" 3,446,245 "				
2001	10	" 8,023,710 "				
2001	11	" 12,713,163 "				
2001	12	" 16,581,458 "				
2002	1	" 17,185,624 "				
2002	2	" 17,014,686 "				
2002	3	" 16,436,595 "				
2002	4	" 13,623,066 "				
2002	5	" 10,003,202 "				
2002	6	" 6,194,575 "				
2002	7	" 2,951,296 "				
2002	8	" 2,575,717 "				
2002	9	" 3,596,125 "				
2002	10	" 9,763,453 "				
2002	11	" 14,155,560 "				
2002	12	" 16,169,188 "				
2003	1	" 16,948,122 "				
2003	2	" 17,811,079 "				
2003	3	" 15,615,344 "				
2003	4	" 13,435,762 "				
2003	5	" 9,371,885 "				
2003	6	" 5,952,639 "				
2003	7	" 2,816,630 "				
2003	8	" 2,616,677 "				
2003	9	" 4,160,206 "				
2003	10	" 7,777,678 "				
2003	11	" 14,741,614 "				
2003	12	" 17,048,204 "				
2004	1	" 18,114,822 "				
2004	2	" 17,983,498 "				
2004	3	" 15,498,393 "				
2004	4	" 12,524,738 "				
2004	5	" 9,842,343 "				
2004	6	" 5,998,503 "				
2004	7	" 3,140,807 "				
2004	8	" 2,342,744 "				
2004	9	" 3,922,795 "				
2004	10	" 8,735,349 "				
2004	11	" 13,377,585 "				
2004	12	" 16,186,855 "				
2005	1	" 17,787,973 "				
2005	2	" 16,447,547 "				
2005	3	" 15,559,327 "				
