Row Labels	Average of Max Temp (°C)	Average of Min Temp (°C)	Average of Mean Temp (°C)	Sum of Total Rain (mm)	Sum of Total Snow (cm)	Sum of Total Precip (mm)	Max of Snow on Grnd (cm)
2012	15.73770492	3.911065574	9.842213115	443.8	78	512.1	21
1							
2							
3	9.475	0.358333333	4.916666667	12.2	1.3	13.2	0
4	9.643333333	-2.86	3.416666667	22.7	6.8	28.7	3
5	21.86315789	5.036842105	13.47368421	21.6	0	21.6	
6	24.515	9.94	17.25	28.6	0	28.6	
7	26.84827586	12.56551724	19.72758621	63.1	0	63.1	
8	24.8483871	11.31612903	18.10967742	65.1	0	65.1	
9	18.67333333	5.493333333	12.11333333	67.2	0	67.2	
10	11.38518519	2.37037037	6.903703704	133.4	3.8	137.2	1
11	5.1	-1.907692308	1.6	23.9	10.1	33.3	21
12	-0.89	-7.655	-4.295	6	56	54.1	20
(blank)							
(blank)							
Grand Total	15.73770492	3.911065574	9.842213115	443.8	78	512.1	21
