"Station Name","SAULT STE MARIE A"
"Province","ONTARIO"
"Latitude","46.48"
"Longitude","-84.51"
"Elevation","192.00"
"Climate Identifier","6057592"
"WMO Identifier","71260"
"TC Identifier","YAM"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1945-01","1945","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-02","1945","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-03","1945","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-04","1945","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-05","1945","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-06","1945","06","","M","","M","","M","","M","","M","28.2","","0.0","","28.2","","","",,"",,""
"1945-07","1945","07","22.7","","8.1","","15.4","","30.0","","0.0","","47.5","","0.0","","47.5","","","",,"",,""
"1945-08","1945","08","24.2","","8.5","","16.4","","30.6","","-3.3","","63.8","","0.0","","63.8","","","",,"",,""
"1945-09","1945","09","18.1","","5.1","","11.6","","30.0","S","-8.3","","125.5","","0.0","","125.5","","","",,"",,""
"1945-10","1945","10","11.4","","1.9","","6.7","","21.1","S","-4.4","S","96.8","","5.1","","101.9","","","",,"",,""
"1945-11","1945","11","3.8","","-2.8","","0.5","","16.1","","-16.1","","64.8","","20.3","","85.1","","","",,"",,""
"1945-12","1945","12","-4.3","","-13.4","","-8.9","","3.3","","-31.1","","0.0","","81.5","","81.5","","","",,"",,""
"1946-01","1946","01","-4.2","","-13.1","","-8.7","","7.2","S","-23.9","","46.5","","62.0","","108.5","","","",,"",,""
"1946-02","1946","02","-6.2","","-16.9","","-11.6","","3.3","","-31.1","","14.0","","40.1","","54.1","","","",,"",,""
"1946-03","1946","03","7.6","","-6.0","","0.8","","21.1","","-21.1","","","M","","M","","M","","",,"",,""
"1946-04","1946","04","8.4","","-2.6","","2.9","","24.4","","-10.0","","43.2","","7.6","","50.8","","","",,"",,""
"1946-05","1946","05","14.6","","1.5","","8.1","","24.4","S","-6.7","","90.7","","0.0","","90.7","","","",,"",,""
"1946-06","1946","06","20.2","","6.8","","13.5","","30.0","","-1.1","S","84.6","","0.0","","84.6","","","",,"",,""
"1946-07","1946","07","23.4","","7.4","","15.4","","27.8","","0.6","","39.9","","0.0","","39.9","","","",,"",,""
"1946-08","1946","08","22.1","","7.2","","14.7","","30.6","","0.0","","141.7","","0.0","","141.7","","","",,"",,""
"1946-09","1946","09","19.6","","5.5","","12.6","","28.3","","-5.0","","74.7","","0.0","","74.7","","","",,"",,""
"1946-10","1946","10","15.2","","1.9","","8.6","","26.1","","-10.0","","64.8","","0.0","","64.8","","","",,"",,""
"1946-11","1946","11","5.6","","-3.8","","0.9","","13.9","","-12.2","S","69.3","","26.7","","96.0","","","",,"",,""
"1946-12","1946","12","-2.5","","-11.2","","-6.9","","10.0","","-36.7","","38.4","","61.2","","99.6","","","",,"",,""
"1947-01","1947","01","-2.9","","-14.9","","-8.9","","6.7","","-28.9","","40.4","","66.3","","106.7","","","",,"",,""
"1947-02","1947","02","-5.8","","-17.5","","-11.7","","6.1","","-28.3","","14.0","","61.2","","75.2","","","",,"",,""
"1947-03","1947","03","0.3","","-12.1","","-5.9","","10.6","","-23.9","","41.7","","30.7","","72.4","","","",,"",,""
"1947-04","1947","04","4.7","","-5.6","","-0.5","","15.6","","-10.0","S","95.5","","7.6","","103.1","","","",,"",,""
"1947-05","1947","05","10.8","","0.7","","5.8","","21.7","","-8.9","","99.6","","7.6","","107.2","","","",,"",,""
"1947-06","1947","06","20.2","","6.5","","13.4","","30.6","","0.0","","69.3","","0.0","","69.3","","","",,"",,""
"1947-07","1947","07","23.7","","10.4","","17.1","","30.6","","3.9","","60.5","","0.0","","60.5","","","",,"",,""
"1947-08","1947","08","27.6","","11.4","","19.5","","36.1","","-2.8","","16.5","","0.0","","16.5","","","",,"",,""
"1947-09","1947","09","19.3","","6.7","","13.0","","32.8","","-8.3","","91.7","","1.0","","92.7","","","",,"",,""
"1947-10","1947","10","18.4","","3.3","","10.9","","26.7","","-6.7","S","8.1","","0.0","","8.1","","","",,"",,""
"1947-11","1947","11","3.2","","-4.4","","-0.6","","16.1","","-18.3","","57.2","","32.5","","89.7","","","",,"",,""
"1947-12","1947","12","-2.4","","-11.4","","-6.9","","3.3","","-26.1","","","M","","M","","M","","",,"",,""
"1948-01","1948","01","-7.2","","-21.8","","-14.5","","1.7","","-38.9","S","","M","","M","","M","","",,"",,""
"1948-02","1948","02","-5.3","","-18.9","","-12.1","","5.0","","-35.0","","39.1","","45.7","","84.8","","","",,"",,""
